Title,Year,Director,Missing,Search Query
"Muthaiduva",1979,"P. Chandrasekhara Reddy","poster; heroine; tmdb_id","Muthaiduva 1979 Telugu film Krishna"
"Dongalaku Savaal",1979,"K.S.R. Das","poster; tmdb_id","Dongalaku Savaal 1979 Telugu film Krishna"
"Sanku Teertham",1979,"K. Viswanath","poster; heroine; tmdb_id","Sanku Teertham 1979 Telugu film Krishna"
"ViyyalavariKayyalu",1979,"K. Kattubadi","poster; tmdb_id","ViyyalavariKayyalu 1979 Telugu film Krishna"
"Samajaniki Savaal",1979,"S.P. Rajaram","poster; tmdb_id","Samajaniki Savaal 1979 Telugu film Krishna"
"Yevadabbasommu",1979,"K.S.R. Das","poster; tmdb_id","Yevadabbasommu 1979 Telugu film Krishna"
"Captain Krishna",1979,"K.S.R. Das","poster; tmdb_id","Captain Krishna 1979 Telugu film Krishna"
"Ragile Hrudayalu",1980,"M. Mallikarjuna Rao","poster; tmdb_id","Ragile Hrudayalu 1980 Telugu film Krishna"
"Maa Inti Devatha",1980,"Padmanabham","poster; heroine; tmdb_id","Maa Inti Devatha 1980 Telugu film Krishna"
"Adhrustavanthudu",1980,"G.C. Sekhar","poster; tmdb_id","Adhrustavanthudu 1980 Telugu film Krishna"
"Hare Krishna Hallo Radha",1980,"K.S.R. Das","poster; tmdb_id","Hare Krishna Hallo Radha 1980 Telugu film Krishna"
"Ramudu Parasuramudu",1980,"Vijaya Nirmala","poster; tmdb_id","Ramudu Parasuramudu 1980 Telugu film Krishna"
"Ammayi Mogudu Mamaku Yamudu",1980,"Amrutha","poster; tmdb_id","Ammayi Mogudu Mamaku Yamudu 1980 Telugu film Krishna"
"Allari Bava",1980,"P. Sambasiva Rao","poster; tmdb_id","Allari Bava 1980 Telugu film Krishna"
"Kiladi Krishnudu",1980,"A. Kodandarami Reddy","poster; tmdb_id","Kiladi Krishnudu 1980 Telugu film Krishna"
"Antham Kaadidi Aarambham",1981,"K.S.R. Das","poster; tmdb_id","Antham Kaadidi Aarambham 1981 Telugu film Krishna"
"Nayudu gari Abbai",1981,"B.B. Prasad","poster; tmdb_id","Nayudu gari Abbai 1981 Telugu film Krishna"
"Jagamondi",1981,"K.B. Srinivasan","poster; tmdb_id","Jagamondi 1981 Telugu film Krishna"
"Bhoga Bagyalu",1981,"P. Chandrasekhara Reddy","poster; tmdb_id","Bhoga Bagyalu 1981 Telugu film Krishna"
"Bhogimanthulu",1981,"K. Balachander","poster; tmdb_id","Bhogimanthulu 1981 Telugu film Krishna"
